"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Permission-Selective_Trust_Model_v3.1_paper.nlogo"
"H3-reappraisal-threshold-sweep-final"
"07/12/2026 21:17:10:737 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","REAPPRAISAL-CREDIBILITY","NUM-STRANGERS","REAPPRAISAL-VISIBILITY","DEVIATION-REWARD","SATURATION-THRESHOLD","[step]","reappraisal-count","reappraisal-elite-n","reappraisal-subculture-n","reappraisal-institutional-n","reappraisal-stranger-n","safe-mean-reappraisal-sim","safe-mean-deviator-sim"
"104","0.01","0","0.9","0.01","0.3","2500","201","0","38","163","0","0.3336511885019348","0.5556696019132222"
"105","0.003","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5402094819102734"
"106","0.005","0","0.9","0.01","0.3","2500","22","0","0","22","0","0.2000000000000001","0.5439150594162333"
"107","0.007","0","0.9","0.01","0.3","2500","20","0","0","20","0","0.3138095238095237","0.5393698577008734"
"108","0.01","0","0.9","0.01","0.3","2500","331","0","24","307","0","0.3472306143001007","0.544182586839232"
"109","0.003","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5290696954307165"
"110","0.005","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.548278940131443"
"111","0.007","0","0.9","0.01","0.3","2500","1","0","0","1","0","0.32","0.5450283457909013"
"112","0.01","0","0.9","0.01","0.3","2500","62","0","0","62","0","0.3474078341013823","0.533756956237688"
"113","0.003","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5479958428017515"
"114","0.005","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5456118588622193"
"115","0.007","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5361465556343574"
"116","0.01","0","0.9","0.01","0.3","2500","271","0","0","271","0","0.3195079950799511","0.5353288821590932"
"117","0.003","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5410410388429364"
"118","0.005","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.548131467127327"
"119","0.007","0","0.9","0.01","0.3","2500","3","0","0","3","0","0.3111111111111111","0.5414901620965962"
"120","0.01","0","0.9","0.01","0.3","2500","98","0","0","98","0","0.34693877551020386","0.5442521148772793"
